Top Listened Artists,Listening Time (minutes)
Lana Del Rey,40717.332233333334
Taylor Swift,14856.024233333334
Florence + The Machine,10730.280483333334
Lorde,10270.031966666667
Halsey,8829.728316666668
Ben Howard,7023.299166666667
Adele,6528.115716666666
London Grammar,6209.73435
AURORA,5424.417716666667
Mitski,5170.328233333334
