Top Listened Albums,Listening Time (minutes)
Norman Fucking Rockwell!,6867.016983333333
Ultraviolence,5426.847883333333
Lust For Life,5289.014316666667
Honeymoon,4803.828716666667
Born To Die,4628.592366666667
Midnights,4589.744283333333
Pure Heroine,3983.5461
Melodrama,3907.5061666666666
I Forget Where We Were,2970.0280333333335
Ceremonials,2711.8792166666667
