Top Listened Songs,Listening Time (minutes)
Cruel World,1003.3005666666667
Venice Bitch,972.7362833333333
Born To Die,900.2218333333333
California,868.2514
Ribs,808.6670666666666
Off To The Races,807.0709166666667
Snow On The Beach (feat. Lana Del Rey),769.0687166666667
Video Games,697.8448833333333
Green Light,696.6102166666667
National Anthem,660.4063333333334
