Top Listened Artists,Listening Time (minutes)
Lana Del Rey,3017.95
Taylor Swift,1936.6
Mitski,1866.3
Lorde,1380.76
Adele,1197.62
AURORA,1185.98
Halsey,1015.38
Lindsey Stirling,994.62
Alanis Morissette,955.08
Fiona Apple,863.06
