Top Listened Songs,Listening Time (minutes)
Cruel World,1003.3
Venice Bitch,972.74
Born To Die,900.22
California,868.25
Ribs,808.67
Off To The Races,807.07
Snow On The Beach (feat. Lana Del Rey),769.07
Video Games,697.84
Green Light,696.61
National Anthem,660.41
