Top Listened Artists,Listening Time (minutes)
Taylor Swift,4611.28
Lana Del Rey,3612.57
Ethel Cain,1411.69
Florence + The Machine,1051.29
Paramore,1037.75
Beyoncé,995.3
SZA,916.03
Halsey,854.5
PJ Harvey,850.97
Gracie Abrams,821.24
