master_metadata_album_album_name,weighted_playtime
Did you know that there's a tunnel under Ocean Blvd,446994.92
Midnights,206670.76
PORTALS,83094.22
Rhythm Nation 1814,73491.88
Before the Poison,57354.9
Stereo Mind Game,57256.27
RENAISSANCE,38778.71
evermore,35912.09
folklore,34510.03
Norman Fucking Rockwell!,33367.24
