Top Listened Albums,Listening Time (minutes)
Midnights,2115.72
Did you know that there's a tunnel under Ocean Blvd,1432.23
Preacher’s Daughter,1392.97
SOS,874.13
RENAISSANCE,839.82
Good Riddance,689.48
evermore,474.93
folklore,455.68
This Is Why,453.68
Unknown Rooms: A Collection of Acoustic Songs,453.21
