master_metadata_track_name,weighted_playtime
Rhythm Nation,29518.95
Taco Truck x VB,16492.89
Mermaids,8842.15
Attention,7819.86
Karma,6196.12
A&W,5916.65
The Mistery of Love,5267.75
Say Yes To Heaven,4991.16
Snow On The Beach (feat. More Lana Del Rey),4442.79
THE CONTORTIONIST,4421.58
