Top Listened Artists,Listening Time (minutes)
Lana Del Rey,40717.33
Taylor Swift,14856.02
Florence + The Machine,10730.28
Lorde,10270.03
Halsey,8829.73
Ben Howard,7023.3
Adele,6528.12
London Grammar,6209.73
AURORA,5424.42
Mitski,5170.33
