Top Listened Albums,Listening Time (minutes)
Red (Taylor's Version),865.5
30,734.82
Blue Banisters,718.54
Artemis,703.66
Such Pretty Forks In The Road,680.51
Solar Power,661.36
The Gods We Can Touch,609.05
Laurel Hell,508.49
"If I Can’t Have Love, I Want Power",473.83
Norman Fucking Rockwell!,443.88
