master_metadata_album_artist_name,weighted_playtime
Lana Del Rey,4855.91
Taylor Swift,3766.52
Florence + The Machine,1392.14
Mitski,1337.55
Lorde,1283.13
Halsey,1167.97
Adele,1121.68
AURORA,1083.76
Ethel Cain,1065.09
Ben Howard,1053.9
