Top Listened Albums,Listening Time (minutes)
I Forget Where We Were,1839.72
Ceremonials,1689.12
"How Big, How Blue, How Beautiful",1624.21
Every Kingdom,1360.84
Lungs,1348.01
Lust For Life,1317.61
Norman Fucking Rockwell!,1255.13
Honeymoon,1248.62
Born To Die,1232.34
BADLANDS,1221.28
